BatchID,param,grid_value,grid_log,nll_prof,nll_min,nll_thresh_95,sse_min,n_fixed
F14,tau,51.37252723062342,3.939103539894007,-30.91417493328364,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,65.28127319591556,4.178705214079561,-29.896391997380714,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,82.95571309833034,4.418306888265114,-28.87965651660593,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,105.41538175886964,4.657908562450668,-27.933093757124006,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,133.95584579203475,4.897510236636221,-27.090161654418438,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,170.22343724851683,5.137111910821774,-26.362322395180378,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,216.310220859527,5.376713585007328,-25.748508234060576,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,274.8746729863428,5.6163152591928815,-25.240796718512726,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,349.2950335361887,5.855916933378435,-24.827747145400284,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,443.8641768174447,6.095518607563989,-24.4964547758487,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,564.0372422913822,6.335120281749543,-24.233890167080126,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,716.7463095867562,6.574721955935095,-24.027781637314384,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,910.8002695340533,6.814323630120649,-23.867153478289712,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,1157.3929574350925,7.053925304306203,-23.74258636227909,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,1470.7488597973727,7.293526978491756,-23.64626316737013,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,1868.9436415691862,7.533128652677309,-23.571867723536766,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,2374.9468252813213,7.772730326862863,-23.514400525559868,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,3017.9467681423007,8.012332001048417,-23.469963028776036,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,3835.0343672480667,8.251933675233971,-23.43554559104679,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,4873.3426159888695,8.491535349419523,-23.408838554258395,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,6192.765430119291,8.731137023605076,-23.388074214583806,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,7869.412576628129,8.97073869779063,-23.37190006001368,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,tau,10000.00000000001,9.210340371976184,-23.359279872008468,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,beta,0.0010000000000000002,-6.907755278982137,-22.95974866709818,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,beta,0.0012731793841950726,-6.666238054805658,-22.96740555242556,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,beta,0.001620985744339344,-6.4247208306291785,-22.977155478350184,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,beta,0.002063805631766957,-6.183203606452699,-22.989571058162163,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,beta,0.0026275947833513764,-5.94168638227622,-23.00538186016556,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,beta,0.00334539950818149,-5.700169158099741,-23.02551762345258,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
