Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,success,tau_prior_mode,t_peak,t_peak_repr,mu_tau_prior,sig_tau_prior,flat_ratio,tau_fixed,lambda_med,lambda_q025,lambda_q975,lambda_q16,lambda_q84,tau_med,tau_q025,tau_q975,tau_q16,tau_q84,beta_med,beta_q025,beta_q975,beta_q16,beta_q84
S3_tau_fixed_1,F35,10,0.0,420.0,0.6710069444444443,0.007029187455013919,True,,,,,,,1.0,0.002102293508313716,0.0017982290479923474,0.002565260282059848,0.0019236342646426388,0.0023161474415841605,1.0,1.0,1.0,1.0,1.0,0.4498996056915888,0.06470483777300069,0.9607628562736966,0.2297764556435282,0.6996039688399526
S3_tau_fixed_1,F36,10,0.0,420.0,0.6679583333333334,0.0071201792933744635,True,,,,,,,1.0,0.0020894526554707396,0.001853149629392344,0.0024719330165216473,0.0019463377507718798,0.002269073411208983,1.0,1.0,1.0,1.0,1.0,0.29309921249396226,0.02685314417466205,0.6917375258844412,0.1284455315961445,0.48589061371140596
S3_tau_fixed_1,F37,10,0.0,420.0,0.7156319444444444,0.030261391370559602,True,,,,,,,1.0,0.0934344633536778,0.06717093458289242,0.14083974669850602,0.07828285574011871,0.11385226408439224,1.0,1.0,1.0,1.0,1.0,2.9585116282955775,2.592191049565099,3.4040473474825763,2.7658595737734695,3.173040685128261
S3_tau_fixed_1,F38,10,0.0,420.0,0.6611597222222222,0.011705603363755035,True,,,,,,,1.0,46.038580841903524,2.5298556619078947,97.06438228980805,13.564876970910667,82.2133966496977,1.0,1.0,1.0,1.0,1.0,3.528796624200333,2.357549152095389,4.221238265029448,3.0241697919730197,3.9060323064496476
S3_tau_fixed_1,F39,10,0.0,420.0,0.6606319444444444,0.020789113565356624,True,,,,,,,1.0,0.0018142224187226125,0.001443306398915413,0.0024854969064077243,0.0015910709824978996,0.0021132430037006118,1.0,1.0,1.0,1.0,1.0,0.9047471489253802,0.12501997544550209,2.0042440282548846,0.4542723668161981,1.4296844927639083
S3_tau_fixed_1,F4,10,0.0,420.0,0.6728333333333335,0.005939589051002686,True,,,,,,,1.0,0.0019312327767280822,0.0016093445907790164,0.0024556595357156717,0.0017454611790356967,0.0021725413585335705,1.0,1.0,1.0,1.0,1.0,0.6337725723739689,0.1046281298892999,1.361206681140669,0.3346398921516641,0.9805044195036692
S3_tau_fixed_1,F40,10,0.0,420.0,0.6500763888888889,0.009654671516133457,True,,,,,,,1.0,0.0011670861117361224,0.0009484141222660556,0.001728927663428826,0.0010248641375197219,0.0013990000983535532,1.0,1.0,1.0,1.0,1.0,1.0119455688422958,0.05437974476540609,3.1569981876434157,0.3332269509551718,1.9885639585529102
S3_tau_fixed_1,F41,10,0.0,420.0,0.6630972222222223,0.008609059247642353,True,,,,,,,1.0,0.0017152559676488965,0.0015076828874768654,0.0021269573736735856,0.0015865728264027735,0.0018986669491129176,1.0,1.0,1.0,1.0,1.0,0.37833382595785486,0.02744812403595779,1.044383466653464,0.1414651177501731,0.6894274424047685
S3_tau_fixed_1,F42,10,0.0,420.0,0.6519236111111111,0.009119924830427504,True,,,,,,,1.0,0.0012597249974477872,0.001068734374013245,0.0017256758973407146,0.0011378545278284851,0.001456892895873467,1.0,1.0,1.0,1.0,1.0,0.6781407430021049,0.028811354891145263,2.1798192423421816,0.20734250461604378,1.364212254785766
S3_tau_fixed_1,F43,10,0.0,420.0,0.6650138888888889,0.00868775935596437,True,,,,,,,1.0,0.0015893039634297481,0.0014322211271041592,0.0019417084471952722,0.001495459610395302,0.0017380088711400215,1.0,1.0,1.0,1.0,1.0,0.2647889994722783,0.013173424025584649,0.9261687075578565,0.07999747675804304,0.5555849192460259
