Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975
S3_tau_fixed_1_n1,F27,10,0.0,420.0,0.7136944444444445,0.02105074254967373,0.004072850045500003,0.004358482752557973,0.004682138121232933,0.005038566608046598,0.005426008390063783,0.3822883646982226,0.48255581147506166,0.5830922738859136,0.6844656936873216,0.7877279582884419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F28,10,0.0,420.0,0.6991180555555555,0.014858381471037038,0.003136917510497179,0.003336180263733019,0.0035596941634521914,0.0037956829596152396,0.004037247994501878,0.1119151096192069,0.2181340324941496,0.3199486302850842,0.4214906546822377,0.5139649408995034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F29,10,0.0,420.0,0.6620694444444445,0.010844118038069842,0.0011978657397938254,0.0012671223447758347,0.0013822840069087363,0.0015578859941877906,0.0017954094205128483,0.027803369343146717,0.1625096976439237,0.5001145965499052,0.9919763594561036,1.5961187416664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F3,10,0.0,420.0,0.6473819444444445,0.011076240934171287,0.0007244746901777805,0.0008687818506709234,0.00117129323087492,0.0016671557609030847,0.002303201303614592,0.39086886613203625,1.7077948634305844,3.980389446303258,6.743283927024788,9.094247014506974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F30,10,0.0,420.0,0.6776805555555555,0.01425458558854156,0.0012829942528627511,0.0013391478238736836,0.0014137893022632302,0.001526573539582399,0.0016980912181452639,0.009542973824354747,0.0612141612559249,0.22198251881450937,0.511098860308789,0.8990674124086744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F31,10,0.0,420.0,0.6531597222222222,0.010919509797768241,0.00107997967114079,0.0011486295548030164,0.0012652324088817334,0.0014557381051722134,0.0017320439719853257,0.025665943387555172,0.1852355015879305,0.6129465026903707,1.2552831759302063,2.07429041723069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F32,10,0.0,420.0,0.6561180555555556,0.010905552140334663,0.0010943072612911197,0.0011913181470536716,0.0013616361295445988,0.0016203789109509126,0.0019719404005161985,0.08901220610806743,0.40491293472419365,1.01433513800496,1.8332895990964673,2.7614841400076937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F33,10,0.0,420.0,0.6583541666666667,0.008651343356280117,0.0013235258562537364,0.001399410181293537,0.0015287416861232298,0.0017250387688114621,0.001979685846224172,0.03154073924734956,0.170690888592109,0.4817170046474418,0.9245971590320813,1.444952848776893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F34,10,0.0,420.0,0.712326388888889,0.03143933442957967,0.0027100977943062938,0.0029717605602680177,0.0032917195917282864,0.0036656327079841447,0.0041073785467022955,0.5730985396200243,0.7562865173906402,0.9681300100571575,1.1953859796178101,1.4401296810196278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F35,10,0.0,420.0,0.6737986111111112,0.0071013055198085396,0.0018026229501067166,0.0019283871015541966,0.0021048709709308596,0.002321302937718275,0.0025769133570244054,0.06619481773512842,0.23733537043658215,0.45458737775908475,0.7033290132368615,0.969011866250668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F36,10,0.0,420.0,0.6690694444444444,0.007030283156354873,0.0018529169723030176,0.0019454535403170081,0.00208689023140812,0.0022657409307457396,0.0024703590405540147,0.02745530329943035,0.1260385267007333,0.28899635207697905,0.48137034435716475,0.6881285248041401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F37,10,0.0,420.0,0.7172638888888888,0.030310886715556536,0.06761531960769553,0.07889762504880343,0.09425674735460601,0.11424061139566631,0.14177598636351246,2.592706890482178,2.771255167910899,2.9646408030483125,3.1771605853920715,3.406991895050769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F38,10,0.0,420.0,0.6585416666666667,0.011992387044445276,2.5430376011536127,13.651599402819155,46.35686228862613,82.36073560798498,97.21299240041188,2.3050614473250866,3.0084010547319235,3.505800217197623,3.89061241268616,4.200408113323857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F39,10,0.0,420.0,0.6671805555555554,0.020816165390088695,0.001447597180470821,0.0015987070684483904,0.001819088188016505,0.0021065350690267523,0.0024654899702576684,0.1376523299572112,0.4730659118629728,0.9124849183879409,1.41664435034413,1.9873478936707345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F4,10,0.0,420.0,0.6698194444444444,0.006012333355368829,0.001607009737266869,0.001743190149333959,0.001935813555125593,0.0021726157870358654,0.002460273500400563,0.0987138605230107,0.3288762954034687,0.6388374462807127,0.981218637965998,1.3568151656150667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F40,10,0.0,420.0,0.6492777777777777,0.009525174489575683,0.0009478667644429378,0.0010235521800842004,0.0011637314800737844,0.001400431469098414,0.0017458249774419319,0.05413728241451352,0.32143761829676565,0.9936534000028447,1.9930292425910483,3.211275056168375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F41,10,0.0,420.0,0.6575694444444444,0.008569215495605926,0.0015082062132299955,0.001586719718829398,0.0017159559193832253,0.0018992679631584647,0.002127216596498113,0.02535512095245288,0.13551561445158727,0.37608804965021203,0.6918047214727356,1.0525664803054686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F42,10,0.0,420.0,0.6584444444444445,0.009107543857647775,0.001067128096290659,0.001138256769259883,0.0012588416311367819,0.0014555692403322997,0.0017324248778882755,0.03757658524791381,0.22744183148568792,0.6772043957027306,1.3595851757504416,2.1921020998030625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
