hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse
11,2,gelu,0.0,True,0.02,0.06437527220804687,0.016712940967657124
11,2,gelu,0.0,True,0.03,0.07390100673385025,0.016603010928904597
11,2,gelu,0.1,True,0.01,0.07443962845579351,0.022238898252005045
11,2,gelu,0.1,True,0.02,0.06457766458967264,0.019051359611213303
11,2,gelu,0.1,True,0.03,0.06506788698943948,0.01633019999674845
11,3,relu,0.0,True,0.01,0.08277668911999231,0.021470701804994392
11,3,relu,0.0,True,0.02,0.07585316557122243,0.02998026480814629
11,3,relu,0.0,True,0.03,0.07670399554219544,0.02797119090995325
11,3,relu,0.1,True,0.01,0.08825354490294754,0.03114893340899745
11,3,relu,0.1,True,0.02,0.06435811817185158,0.01775100632358756
11,3,relu,0.1,True,0.03,0.0687327276918765,0.02268867968402081
11,3,tanh,0.0,True,0.01,0.08485105276572638,0.027320243731545138
11,3,tanh,0.0,True,0.02,0.08187078693597534,0.03072988351985438
11,3,tanh,0.0,True,0.03,0.07513491228316957,0.02718170712592133
11,3,tanh,0.1,True,0.01,0.08155494620412049,0.0192189134989302
11,3,tanh,0.1,True,0.02,0.07342079842597482,0.019314203174722773
11,3,tanh,0.1,True,0.03,0.06449494671562225,0.016798786656623238
11,3,swish,0.0,True,0.01,0.06891947288228872,0.013801091925513858
11,3,swish,0.0,True,0.02,0.0575871698920319,0.01711323805684659
11,3,swish,0.0,True,0.03,0.05937864467477025,0.028594066382892663
11,3,swish,0.1,True,0.01,0.07188009017242619,0.02077091112929704
11,3,swish,0.1,True,0.02,0.062060599533319875,0.025204311209374164
11,3,swish,0.1,True,0.03,0.07094207245855974,0.02357608610200896
11,3,leakyrelu,0.0,True,0.01,0.09040146928340748,0.024653654943585686
11,3,leakyrelu,0.0,True,0.02,0.07372538475386993,0.024747706475428004
11,3,leakyrelu,0.0,True,0.03,0.07080304165782735,0.025377408343938042
11,3,leakyrelu,0.1,True,0.01,0.08113389636661493,0.02382674285810131
11,3,leakyrelu,0.1,True,0.02,0.0796468890367423,0.019629691808685082
11,3,leakyrelu,0.1,True,0.03,0.07684723932681793,0.02893165044280968
11,3,gelu,0.0,True,0.01,0.07543047551701318,0.02444104651704025
11,3,gelu,0.0,True,0.02,0.06743326603466514,0.02285189045569239
11,3,gelu,0.0,True,0.03,0.0643889018567608,0.01609660608839613
11,3,gelu,0.1,True,0.01,0.08046607400768857,0.0191900596151115
11,3,gelu,0.1,True,0.02,0.06939075137937692,0.02301682129512058
11,3,gelu,0.1,True,0.03,0.07371460601126402,0.012549991351595595
