hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse
12,4,relu,0.1,True,0.02,0.10438617152979833,0.0320881380682178
12,4,tanh,0.0,True,0.01,0.09131913316652514,0.025044746035797504
12,4,tanh,0.0,True,0.02,0.07544944927273183,0.02112084965913066
12,4,tanh,0.1,True,0.01,0.09881910656379443,0.017142301485260497
12,4,tanh,0.1,True,0.02,0.08003820127106917,0.01040178862915769
12,4,swish,0.0,True,0.01,0.0738428447396828,0.011256517178701849
12,4,swish,0.0,True,0.02,0.0710013530960302,0.017210725058241318
12,4,swish,0.1,True,0.01,0.09052084155858878,0.0233254844926494
12,4,swish,0.1,True,0.02,0.08043440951802959,0.01936494857986878
12,4,leakyrelu,0.0,True,0.01,0.07414836345689246,0.014722841140764576
12,4,leakyrelu,0.0,True,0.02,0.08076986606859836,0.0219852784251044
12,4,leakyrelu,0.1,True,0.01,0.09020596712102244,0.019440719962072552
12,4,leakyrelu,0.1,True,0.02,0.0873836503449342,0.01925737272164144
12,4,gelu,0.0,True,0.01,0.08555396631886468,0.019497690670524474
12,4,gelu,0.0,True,0.02,0.06954812250641337,0.025571967906926257
12,4,gelu,0.1,True,0.01,0.08446538076617705,0.015934025263607397
12,4,gelu,0.1,True,0.02,0.07126189134640276,0.020365119979205943
16,2,relu,0.0,True,0.01,0.08266159299236259,0.028797436140362506
16,2,relu,0.0,True,0.02,0.09328880120780618,0.02925189476171363
16,2,relu,0.1,True,0.01,0.09058887548624804,0.03080693970372614
16,2,relu,0.1,True,0.02,0.07872781941538494,0.022608856696415745
16,2,tanh,0.0,True,0.01,0.08632257120534814,0.026396046872571195
16,2,tanh,0.0,True,0.02,0.09203055720968388,0.026304588334441333
16,2,tanh,0.1,True,0.01,0.10683386279290873,0.017261510215374594
16,2,tanh,0.1,True,0.02,0.0990570437724288,0.024240681184842898
16,2,swish,0.0,True,0.01,0.06916035871592544,0.023443806957127424
16,2,swish,0.0,True,0.02,0.08319870768819068,0.021346371874189786
16,2,swish,0.1,True,0.01,0.08217541188362114,0.022027180041674768
16,2,swish,0.1,True,0.02,0.07234575455857442,0.01859064860895927
16,2,leakyrelu,0.0,True,0.01,0.08512226181150134,0.0175569852090926
16,2,leakyrelu,0.0,True,0.02,0.08641432399731132,0.02093720236389988
16,2,leakyrelu,0.1,True,0.01,0.08885637190673287,0.026286206024326696
16,2,leakyrelu,0.1,True,0.02,0.08336158775653868,0.01827070579889879
16,2,gelu,0.0,True,0.01,0.08347171250576982,0.02155770123827804
16,2,gelu,0.0,True,0.02,0.07723449303946044,0.016237022920934808
16,2,gelu,0.1,True,0.01,0.08520529978130573,0.02417981099756553
16,2,gelu,0.1,True,0.02,0.07908224761213982,0.020465211043190563
16,3,relu,0.0,True,0.01,0.07849219832456372,0.025278546811633
16,3,relu,0.0,True,0.02,0.09160729529243908,0.0299527462767327
16,3,relu,0.1,True,0.01,0.09271915206508036,0.018507442954200055
16,3,relu,0.1,True,0.02,0.09329941536758668,0.02468485630983695
16,3,tanh,0.0,True,0.01,0.09016567747294192,0.02977278381681088
16,3,tanh,0.0,True,0.02,0.08933646369287138,0.030192746230032843
16,3,tanh,0.1,True,0.01,0.1005815736005359,0.01605777345945521
16,3,tanh,0.1,True,0.02,0.08692083190943213,0.02398298986718068
16,3,swish,0.0,True,0.01,0.06649325705502232,0.014764437677210213
16,3,swish,0.0,True,0.02,0.07118003899747895,0.028259130143996083
16,3,swish,0.1,True,0.01,0.08795337193745636,0.026241742650470343
16,3,swish,0.1,True,0.02,0.0760828005976174,0.03011129728154236
16,3,leakyrelu,0.0,True,0.01,0.08617818396100202,0.029961185544868305
16,3,leakyrelu,0.0,True,0.02,0.08381554736022383,0.02515833973073441
16,3,leakyrelu,0.1,True,0.01,0.07382128313766392,0.021633254380624408
16,3,leakyrelu,0.1,True,0.02,0.08128281610093094,0.01913683071268177
16,3,gelu,0.0,True,0.01,0.0678288422123938,0.018614916717917738
16,3,gelu,0.0,True,0.02,0.07030865201918826,0.02327242447394873
16,3,gelu,0.1,True,0.01,0.07748577955440875,0.02503911352309305
16,3,gelu,0.1,True,0.02,0.07378522972851517,0.0229883764348862
16,4,relu,0.0,True,0.01,0.08130443500417048,0.01600710617620758
16,4,relu,0.0,True,0.02,0.08309857238559659,0.03066205612805753
16,4,relu,0.1,True,0.01,0.09222625271257036,0.019917410860422924
16,4,relu,0.1,True,0.02,0.0882931320952059,0.018388666926969985
16,4,tanh,0.0,True,0.01,0.0853832794382383,0.027132904795128625
16,4,tanh,0.0,True,0.02,0.08356035959258662,0.03179580484459718
16,4,tanh,0.1,True,0.01,0.09469031400087856,0.027832184307912188
16,4,tanh,0.1,True,0.02,0.07919837034375546,0.013770935356119356
16,4,swish,0.0,True,0.01,0.06537379572119008,0.022760636756655097
16,4,swish,0.0,True,0.02,0.07443527092222768,0.03114377676800813
16,4,swish,0.1,True,0.01,0.08907861357933215,0.02010681396537166
16,4,swish,0.1,True,0.02,0.07955660128757189,0.02003406662837326
16,4,leakyrelu,0.0,True,0.01,0.08789382623816072,0.034748454788287
16,4,leakyrelu,0.0,True,0.02,0.07382752318349968,0.016473858781506392
16,4,leakyrelu,0.1,True,0.01,0.09739801975040444,0.02985727784962788
16,4,leakyrelu,0.1,True,0.02,0.07955912664714918,0.017051475766330187
16,4,gelu,0.0,True,0.01,0.07859625330353506,0.030156690178269094
16,4,gelu,0.0,True,0.02,0.07888900154439582,0.02131866560157851
16,4,gelu,0.1,True,0.01,0.08931301482017888,0.02172194856773185
16,4,gelu,0.1,True,0.02,0.08606805938509643,0.028484899088929094
24,2,relu,0.0,True,0.01,0.08650954408626735,0.02443935937452172
24,2,relu,0.0,True,0.02,0.08605139075846302,0.02733315326927059
24,2,relu,0.1,True,0.01,0.08863536350551815,0.021764766952775388
24,2,relu,0.1,True,0.02,0.08107939532003376,0.027723416533922338
24,2,tanh,0.0,True,0.01,0.0865570550722978,0.02930810768014527
24,2,tanh,0.0,True,0.02,0.08157055821591178,0.02863126221579792
24,2,tanh,0.1,True,0.01,0.10259617003295424,0.02800037699408078
24,2,tanh,0.1,True,0.02,0.08969308745789893,0.02596678842495433
