loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps
absolute,onehot,32,4,mish,0.2,True,0.0405020508355339,0.0549114239551576,0.0096626873767435,adam,True,
absolute,onehot,32,4,tanh,0.2,True,0.0015242591172099,0.0810895686813215,0.0205311224335892,adam,True,
absolute,onehot,30,4,mish,0.2,True,0.0416720404729064,0.0508132794378533,0.012575612017306,adam,True,
absolute,onehot,30,4,mish,0.2,True,0.0499367110230474,0.0577654965116185,0.0133655308585185,adam,True,
absolute,onehot,33,4,mish,0.2,True,0.0406713331929962,0.0534901253403161,0.0115314654846075,adam,True,
absolute,onehot,31,4,mish,0.2,True,0.0430508113294112,0.0575960792189076,0.0141670113291457,adam,True,
absolute,onehot,32,4,mish,0.2,True,0.0313587779215185,0.0608755833754351,0.0164406302783142,adam,True,
absolute,onehot,29,4,mish,0.2,True,0.039880372660646,0.0578864774021847,0.0104135316455027,adam,True,
absolute,onehot,33,4,gelu,0.2,True,0.0462744141384573,0.0588423745614792,0.0103203143466759,adam,True,
absolute,onehot,30,4,mish,0.2,True,0.0264083594817592,0.0572177354546162,0.0262065622057928,adam,True,
absolute,onehot,28,5,relu,0.2,True,0.040864165329922,0.0672116056160896,0.013329402738215,adam,True,
absolute,onehot,31,4,leakyrelu,0.2,True,0.0322836417862342,0.0650296889795063,0.0124944088831374,adam,True,
absolute,onehot,30,4,mish,0.2,True,0.0299680594641326,0.0625258693565954,0.0244598356397802,adam,True,
absolute,onehot,32,4,swish,0.2,True,0.0131771659415675,0.0638100112729748,0.0227453070173282,adam,True,
absolute,onehot,33,4,mish,0.2,True,0.0357049648265643,0.0526404080662748,0.0131900650120636,adam,True,
absolute,onehot,33,4,mish,0.2,True,0.0399736879623791,0.0547794950576485,0.0099623056698262,adam,True,
absolute,onehot,33,4,mish,0.2,True,0.0330405550418271,0.0539456907189258,0.0141459347915014,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.0345343807921813,0.0558780171657577,0.0099939970251434,adam,True,
absolute,onehot,36,4,mish,0.2,True,0.0448780830810076,0.0556598710859526,0.0091770595601773,adam,True,
absolute,onehot,33,4,mish,0.0,True,0.0286813880437083,0.0549044845713878,0.0281559348070369,adam,True,
absolute,onehot,27,4,mish,0.2,True,0.0204989912759353,0.0620431299832594,0.0258281806695036,adam,True,
