BatchID,param,grid_value,grid_log,sse_prof,delta_sse,sse_min,delta_star_95
F14,n,0.0329034456231267,-3.414177896508412,0.003672545398696034,0.003283789579413927,0.0003887558192821066,0.0002488037243405482
F14,n,0.04175318936560403,-3.1759794386124764,0.0034543066838233247,0.003065550864541218,0.0003887558192821066,0.0002488037243405482
F14,n,0.05298316906283709,-2.937780980716541,0.0031915134863014514,0.0028027576670193446,0.0003887558192821066,0.0002488037243405482
F14,n,0.06723357536499339,-2.699582522820605,0.0028799646768600355,0.0024912088575779288,0.0003887558192821066,0.0002488037243405482
F14,n,0.08531678524172813,-2.461384064924669,0.002518265465240168,0.0021295096459580613,0.0003887558192821066,0.0002488037243405482
F14,n,0.10826367338740547,-2.2231856070287335,0.0021102434169196706,0.001721487597637564,0.0003887558192821066,0.0002488037243405482
F14,n,0.1373823795883263,-1.984987149132798,0.001668407494810586,0.0012796516755284794,0.0003887558192821066,0.0002488037243405482
F14,n,0.17433288221999885,-1.746788691236862,0.001218527717502154,0.0008297718982200474,0.0003887558192821066,0.0002488037243405482
F14,n,0.22122162910704501,-1.508590233340926,0.0008050948111786956,0.00041633899189658905,0.0003887558192821066,0.0002488037243405482
F14,n,0.28072162039411774,-1.2703917754449905,0.0004968329758758611,0.00010807715659375455,0.0003887558192821066,0.0002488037243405482
F14,n,0.3562247890262442,-1.032193317549055,0.0003905854742315734,1.8296549494667977e-06,0.0003887558192821066,0.0002488037243405482
F14,n,0.4520353656360244,-0.793994859653119,0.00045328563837769315,6.452981909558657e-05,0.0003887558192821066,0.0002488037243405482
F14,n,0.5736152510448681,-0.555796401757183,0.0005384448759561615,0.00014968905667405488,0.0003887558192821066,0.0002488037243405482
F14,n,0.7278953843983156,-0.31759794386124707,0.0006508645433140135,0.0002621087240319069,0.0003887558192821066,0.0002488037243405482
F14,n,0.9236708571873862,-0.07939948596531199,0.0007950211578822704,0.00040626533860016386,0.0003887558192821066,0.0002488037243405482
F14,n,1.1721022975334803,0.15879897193062398,0.0009719310553659022,0.0005831752360837955,0.0003887558192821066,0.0002488037243405482
F14,n,1.4873521072935119,0.39699742982655994,0.0011758911377074551,0.0007871353184253486,0.0003887558192821066,0.0002488037243405482
F14,n,1.8873918221350965,0.635195887722495,0.0013922605263503196,0.0010035047070682131,0.0003887558192821066,0.0002488037243405482
F14,n,2.395026619987485,0.873394345618431,0.0015993848156112718,0.0012106289963291653,0.0003887558192821066,0.0002488037243405482
F14,n,3.039195382313198,1.111592803514367,0.0017762559944688484,0.001387500175186742,0.0003887558192821066,0.0002488037243405482
F14,n,3.856620421163473,1.349791261410303,0.0019119162261545918,0.0015231604068724853,0.0003887558192821066,0.0002488037243405482
F14,n,4.893900918477496,1.587989719306239,0.002008530726647634,0.0016197749073655276,0.0003887558192821066,0.0002488037243405482
F14,n,6.210169418915615,1.826188177202174,0.0020756268431077187,0.0016868710238256122,0.0003887558192821066,0.0002488037243405482
F14,n,7.880462815669912,2.06438663509811,0.0021224377409629013,0.0017336819216807948,0.0003887558192821066,0.0002488037243405482
F14,n,10.000000000000002,2.302585092994046,0.002162053027893984,0.0017732972086118776,0.0003887558192821066,0.0002488037243405482
F14,beta,0.004152752734009549,-5.483983855232086,0.00609791871249304,0.005709162893210933,0.0003887558192821066,0.0002488037243405482
F14,beta,0.005862634113165916,-5.1391562690251895,0.0060454311516680345,0.005656675332385928,0.0003887558192821066,0.0002488037243405482
F14,beta,0.008276553155543038,-4.794328682818293,0.005972804440315603,0.005584048621033497,0.0003887558192821066,0.0002488037243405482
F14,beta,0.01168439490069721,-4.449501096611397,0.005873186055964558,0.005484430236682452,0.0003887558192821066,0.0002488037243405482
F14,beta,0.01649540353691856,-4.1046735104045,0.005738291492813833,0.005349535673531726,0.0003887558192821066,0.0002488037243405482
F14,beta,0.023287328112262723,-3.759845924197603,0.005559123398696339,0.005170367579414232,0.0003887558192821066,0.0002488037243405482
F14,beta,0.03287580381980072,-3.415018337990707,0.005328162765541013,0.004939406946258907,0.0003887558192821066,0.0002488037243405482
F14,beta,0.04641230078382768,-3.0701907517838105,0.005044531496350681,0.004655775677068574,0.0003887558192821066,0.0002488037243405482
F14,beta,0.06552240291539585,-2.7253631655769137,0.004684526509511822,0.004295770690229715,0.0003887558192821066,0.0002488037243405482
F14,beta,0.09250102260182348,-2.380535579370017,0.00420706787311363,0.0038183120538315234,0.0003887558192821066,0.0002488037243405482
F14,beta,0.130587994360209,-2.0357079931631206,0.0035921471117501577,0.003203391292468051,0.0003887558192821066,0.0002488037243405482
F14,beta,0.1843571432115801,-1.6908804069562242,0.002835528817602061,0.0024467729983199543,0.0003887558192821066,0.0002488037243405482
F14,beta,0.2602655505940697,-1.3460528207493274,0.001971705366856231,0.0015829495475741244,0.0003887558192821066,0.0002488037243405482
F14,beta,0.36742897859017914,-1.0012252345424306,0.0011111783529683702,0.0007224225336862637,0.0003887558192821066,0.0002488037243405482
F14,beta,0.518716572361069,-0.6563976483355347,0.0004898851115299743,0.00010112929224786771,0.0003887558192821066,0.0002488037243405482
F14,beta,0.7322963024702706,-0.3115700621286379,0.0005144481210543344,0.00012569230177222787,0.0003887558192821066,0.0002488037243405482
F14,beta,1.0338167376660383,0.03325752407825888,0.001763641279772972,0.0013748854604908654,0.0003887558192821066,0.0002488037243405482
F14,beta,1.4594871549577983,0.3780851102851557,0.0048811726253582865,0.00449241680607618,0.0003887558192821066,0.0002488037243405482
F14,beta,2.0604258742180583,0.7229126964920525,0.010294251205882485,0.009905495386600379,0.0003887558192821066,0.0002488037243405482
F14,beta,2.9087990043118968,1.0677402826989484,0.01777102188173536,0.017382266062453255,0.0003887558192821066,0.0002488037243405482
F14,beta,4.106486796423542,1.4125678689058452,0.026041995186654145,0.02565323936737204,0.0003887558192821066,0.0002488037243405482
F14,beta,5.79731833798191,1.757395455112742,0.034940679125716155,0.03455192330643405,0.0003887558192821066,0.0002488037243405482
F14,beta,8.184343838916583,2.102223041319638,0.06376561267741548,0.06337685685813338,0.0003887558192821066,0.0002488037243405482
F14,beta,11.554218721225052,2.4470506275265347,0.11307215862143516,0.11268340280215305,0.0003887558192821066,0.0002488037243405482
F14,beta,16.31162777193141,2.7918782137334315,0.1890808144720531,0.188692058652771,0.0003887558192821066,0.0002488037243405482
F14,beta,23.02788332033875,3.1367057999403283,0.2988342561065272,0.2984455002872451,0.0003887558192821066,0.0002488037243405482
F14,beta,32.509533544385576,3.481533386147225,0.49200056223880295,0.49161180641952085,0.0003887558192821066,0.0002488037243405482
F14,beta,45.89522000661171,3.826360972354122,0.7564312157965651,0.756042459977283,0.0003887558192821066,0.0002488037243405482
F14,beta,64.79241594098664,4.171188558561017,1.0514585427533034,1.0510697869340213,0.0003887558192821066,0.0002488037243405482
F14,beta,91.47046604995141,4.516016144767914,1.3396093290324935,1.3392205732132114,0.0003887558192821066,0.0002488037243405482
F11,lambda,8.336582884955369e-05,-9.392272058584751,2.1467653260694286,2.1279808421824282,0.018784483887000186,0.01202206968768012
F11,lambda,0.00011769141660737773,-9.047444472377855,2.078959868924434,2.0601753850374336,0.018784483887000186,0.01202206968768012
F11,lambda,0.0001661504447829346,-8.702616886170958,1.9852621431622426,1.9664776592752424,0.018784483887000186,0.01202206968768012
F11,lambda,0.00023456230791801398,-8.357789299964061,1.8570233609316853,1.8382388770446851,0.018784483887000186,0.01202206968768012
F11,lambda,0.00033114251585486147,-8.012961713757164,1.6840318601073405,1.6652473762203404,0.018784483887000186,0.01202206968768012
F11,lambda,0.000467489285810637,-7.668134127550268,1.4558538987161176,1.4370694148291174,0.018784483887000186,0.01202206968768012
F11,lambda,0.0006599763602796551,-7.3233065413433724,1.1656969849395986,1.1469125010525985,0.018784483887000186,0.01202206968768012
F11,lambda,0.0009317193128238122,-6.978478955136476,0.8197911182011663,0.8010066343141662,0.018784483887000186,0.01202206968768012
F11,lambda,0.0013153514733785802,-6.633651368929579,0.45845974037358256,0.43967525648658234,0.018784483887000186,0.01202206968768012
F11,lambda,0.0018569428310716708,-6.288823782722682,0.20146604152750888,0.1826815576405087,0.018784483887000186,0.01202206968768012
F11,lambda,0.002621532531538064,-5.943996196515785,0.12213142271468426,0.10334693882768407,0.018784483887000186,0.01202206968768012
F11,lambda,0.0037009393606081973,-5.599168610308889,0.07395344805218602,0.05516896416518584,0.018784483887000186,0.01202206968768012
F11,lambda,0.005224788167272128,-5.2543410241019926,0.04433850725035722,0.025554023363357034,0.018784483887000186,0.01202206968768012
F11,lambda,0.007376076377641792,-4.909513437895096,0.027257797726248784,0.008473313839248597,0.018784483887000186,0.01202206968768012
F11,lambda,0.010413149966462842,-4.5646858516882,0.01965293583104077,0.0008684519440405845,0.018784483887000186,0.01202206968768012
F11,lambda,0.014700727957851292,-4.219858265481303,0.01881498870048975,3.0504813489564547e-05,0.018784483887000186,0.01202206968768012
F11,lambda,0.020753701155440073,-3.8750306792744063,0.018862525290001007,7.804140300082113e-05,0.018784483887000186,0.01202206968768012
F11,lambda,0.029298964846110213,-3.5302030930675095,0.018895993180299313,0.00011150929329912726,0.018784483887000186,0.01202206968768012
F11,lambda,0.04136271090270498,-3.1853755068606127,0.018919595799398267,0.00013511191239808096,0.018784483887000186,0.01202206968768012
F11,lambda,0.058393662104000474,-2.8405479206537168,0.018936261682941484,0.00015177779594129776,0.018784483887000186,0.01202206968768012
F11,lambda,0.08243704775387904,-2.49572033444682,0.018948040116268487,0.000163556229268301,0.018784483887000186,0.01202206968768012
F11,lambda,0.11638021315175844,-2.150892748239923,0.018956369791365436,0.00017188590436524945,0.018784483887000186,0.01202206968768012
F11,lambda,0.164299357901392,-1.8060651620330272,0.01896226325739017,0.00017777937038998548,0.018784483887000186,0.01202206968768012
F11,lambda,0.2319490425026933,-1.4612375758261305,0.018966434986404507,0.00018195109940432122,0.018784483887000186,0.01202206968768012
F11,lambda,0.3274532475665896,-1.1164099896192337,0.01896938788270867,0.00018490399570848456,0.018784483887000186,0.01202206968768012
F11,lambda,0.46228097423881864,-0.7715824034123369,0.01897147868034012,0.00018699479333993477,0.018784483887000186,0.01202206968768012
F11,lambda,0.6526235446778808,-0.42675481720544006,0.018972959247044827,0.00018847536004464038,0.018784483887000186,0.01202206968768012
