prior_mode,forward_method,tau_fixed_value,loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps,seed,ode_method,ode_rtol,ode_atol,cf_beta_eps,cf_blend_k,cf_base_softplus
tau_fixed,closed_form,1.0,absolute,continuous,31,5,gelu,0.0,True,0.0017600606449081672,0.038825616240501404,0.005264194467388096,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,31,3,gelu,0.0,True,0.0017261600698150056,0.042965407669544216,0.004024713095073121,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,38,5,swish,0.2,True,0.0020141462086848546,0.050685444474220284,0.01249750506152718,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,35,2,leakyrelu,0.0,True,0.027919986343826524,0.04373252615332603,0.00886482946947652,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,32,5,gelu,0.0,True,0.0014180183834526401,0.03900985643267632,0.005093660359621545,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,33,5,gelu,0.0,True,0.001402856509668162,0.046613364666700366,0.015006533847745644,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,39,5,gelu,0.0,True,0.0023414271455544666,0.043081377819180484,0.01704318286961676,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,31,5,gelu,0.0,True,0.0012234840782992312,0.049767079204320906,0.021039032646761786,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,54,5,gelu,0.0,True,0.0018881656148523266,0.03640025369822979,0.005776704311847276,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,58,3,gelu,0.1,True,0.003592710698210303,0.04715370684862137,0.010499227156152284,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,56,5,gelu,0.0,True,0.008196008331680908,0.04749896377325058,0.016769966817181663,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,54,4,mish,0.0,True,0.001753956316571507,0.03929222784936428,0.008720853375465779,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,43,5,gelu,0.0,True,0.01455807320593758,0.04037064909934997,0.002763815448985382,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,48,5,gelu,0.0,True,0.0019910608177415557,0.04484169855713845,0.02094438295319786,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,56,4,mish,0.0,True,0.002382196660313488,0.04748171754181385,0.024579627024105537,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,53,4,mish,0.0,True,0.001669124855983457,0.046305828541517255,0.01817047991935473,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,64,4,mish,0.0,True,0.0014841275097656427,0.047257020324468615,0.01782839485532525,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,52,4,mish,0.0,True,0.0011218419565784275,0.04512402191758156,0.013603051835925565,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,46,5,mish,0.0,True,0.02313555657381994,0.042438735440373423,0.009471419277597896,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,28,4,leakyrelu,0.1,True,0.03734560263615234,0.05491575002670288,0.010512009448041213,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,54,5,gelu,0.0,True,0.001885467802596896,0.035171575844287865,0.0042140763286224155,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,28,5,gelu,0.0,True,0.00259623353109248,0.03882376998662949,0.007472629514852475,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,24,5,gelu,0.0,True,0.002720289131021791,0.03841145187616348,0.004947777304178904,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,17,5,gelu,0.2,True,0.002719047426060625,0.06516015455126763,0.014615109466558631,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,24,5,gelu,0.0,True,0.0019593462173677213,0.04249454624950886,0.009091202998006549,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,19,5,gelu,0.0,True,0.0021986514942572122,0.04384139142930508,0.016036557105145097,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,21,5,gelu,0.0,True,0.0052785041575162134,0.03995326682925224,0.006801199287067503,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,28,5,gelu,0.0,True,0.0039789833240247065,0.03690820187330246,0.00804838780710385,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,28,5,gelu,0.0,True,0.003103664376832568,0.0382709801197052,0.0025857160344990183,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,28,5,gelu,0.0,True,0.003001011808516462,0.036752736568450926,0.004806552602919647,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,24,5,gelu,0.0,True,0.003070108144038523,0.041772944480180735,0.005608689202659546,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,28,3,gelu,0.0,True,0.00409715014063964,0.04247389733791351,0.003997456178589695,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,21,5,swish,0.0,True,0.0044859122971994,0.04155086688697338,0.014238167492764615,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,60,2,gelu,0.1,True,0.005955005515505644,0.0467458538711071,0.010037117381883755,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,28,5,gelu,0.0,True,0.0037131462127381093,0.04006622992455959,0.010027617369769109,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,27,5,gelu,0.0,True,0.003130018336074237,0.041305249184370035,0.00942085151582028,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,25,5,gelu,0.0,True,0.002595670749299665,0.04583314917981625,0.014671987462105076,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,23,5,gelu,0.0,True,0.003269398005618171,0.03824165463447572,0.005686491009322846,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,23,5,gelu,0.0,True,0.003365133089652531,0.04122496694326401,0.0053447850179740046,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,21,5,gelu,0.0,True,0.004927192410184438,0.0461485393345356,0.02273355017531673,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,25,5,gelu,0.0,True,0.0039711126546603795,0.038878049701452255,0.00462960385485109,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,15,5,gelu,0.2,True,0.005618765232595318,0.06321174278855324,0.013802128881463907,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,17,5,leakyrelu,0.0,True,0.0029815968166852416,0.056503538787364964,0.025360223300399533,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,20,5,gelu,0.0,True,0.011897447914416244,0.045052072405815116,0.012065025706487764,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,29,5,gelu,0.0,True,0.002547567195645639,0.0404059000313282,0.008819968082814938,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,27,5,gelu,0.0,True,0.002951703334689625,0.04111623913049698,0.005056247561123736,adamw,False,,1,,,,0.001,6.0,True
